"label","id","group"
"UNIVERSIDAD JAVERIANA DE CALI",288,"UNIVERSITY"
"UNIVERSIDAD JAVERIANA, ASOCIACION COLOMBIANA DE FACULTADES DE COMUNICACION SOCIAL",43,"UNIVERSITY"
"UNIVERSIDAD LIBRE",111,"UNIVERSITY"
"UNIVERSIDAD MILITAR NUEVA GRANADA",263,"UNIVERSITY"
"UNIVERSIDAD NACIONAL",24,"UNIVERSITY"
"UNIVERSIDAD SANTO TOMAS",86,"UNIVERSITY"
"UNIVERSIDAD SERGIO ARBOLEDA",182,"UNIVERSITY"
"VARIOS CIUDADANOS (493)",279,"INDIVIDUAL"
"VICENTE EMILIO GAVIRIA",21,"INDIVIDUAL"
"WILLIAM FERNANDO TORRES TOPAGA",22,"INDIVIDUAL"
"YEINI SULAIDI SILVA",218,"INDIVIDUAL"
"YOLANDA SALGADO BLANCO",284,"INDIVIDUAL"
