name,Level,Type
"Refugee Law Initiative of the School of Advanced Study, University of London",Local,Academia
"Nimisha Patel of the School of Psychology, University of East London",Local,Academia
Union de Ex Prisioneros Politicos de Chile,Local,Advocacy
Organization of victims of the forced displacement from Bajo Atrato,Local,Advocacy
Christian Aid,International,Advocacy
International Center for Transnational Justice,International,Lawyers
Confesion Voluntariado Misionero Cristiano MANOS UNIDAS,Local,Advocacy
Universidad del Rosario,Local,Academia
RFK International Strategic Litigation Unit,International,Lawyers
Human Rights Clinic of Santa Clara University Law School,Local,Academia
"Latin American Council of Students of International and Comparative Law, Dominican Republic Chapter",Local,Lawyers
International Human Rights Law Clinic of the University of Virginia School of Law,Local,Academia
Inter-American University of Puerto Rico Law School and the Caribbean Institute for Human Rights,Local,Academia
Human Rights Clinic of the University of Miami School of Law,Local,Academia
Paola Pelletier Quinones,Individual,Individual
Minority Rights Group International,International,Advocacy
The Human Rights Center of the Universidad Diego Portales,Local,Academia
Claudia Gutierrez Olivares,Individual,Individual
Osvaldo Solis Mansilla,Individual,Individual
Pedro Diaz Romero,Individual,Individual
Mexican Association for the Defense and Promotion of Human Rights,Local,Advocacy
Open Society ,International,Advocacy
Centro de Estudios Sobre Justicia y Participacion,Local,Academia
Instituto de Estudios Comparados de Ciencias Penales en Guatemala,Local,Academia
James Hopkins,Individual,Individual
"Fundar, Center for Analysis and Investigation",Individual,Academia
Rights Watch Canada,Local,Advocacy
The Bar Human Rights Committee,International,Advocacy
Center for Human Rights Studies of the Law School of the University of San Martin de Porres,Local,Academia
Universidad de San Martin de Porres,Local,Academia
Interntional Clinic for the Defense of Human Rights of the University of Quebec in Montreal,Local,Academia
Comite de America Latina y el Caribe para la Defensa de los Derechos Humanos de la Mujer,International,Academia
Equal Rights Trust,Local,Advocacy
Asylum and Human Rights Clinic of the Boston University School of Law,Local,Academia
Consejo Latinoamericano de Estudiosos de Derecho Internacional y Comparado,International,Lawyers
Marcela Leandro Ulloa,Individual,Individual
Association Luca Coscioni per la liberta di ricerca scientifica,Local,Advocacy
Spanish Association of Bioethics and Medical Ethics,Local,Academia
The Robert F. Kennedy Memorial Center for Human Rights,Local,Advocacy
Circulo Bolivariano Yamileth Lopez,Local,Advocacy
The Human Rights Clinic of the Legal Practice Unit of the Law School of the Getulio Vargas Foundation of Rio de Janeiro,Local,Advocacy
The Civil Rights Association,International,Advocacy
The Netherlands Institute for Human Rights,International,Advocacy
The Institute for Democracy and Human Rights of the Pontifical University of Peru,Local,Academia
The Legal Office of the Torcuato Di Tella University,Local,Academia
Association for Civil Rights,Local,Advocacy
The International Radio Broadcasting Association,International,Advocacy
the Inter-American Media Society,International,Advocacy
World Association of Newspapers,International,Advocacy
The Venezuelan Chamber of the Broadcasting Industry,Local,Advocacy
National Syndication of Media Employees,Local,Advocacy
Broadcasting Association of Chile,Local,Advocacy
The World Press Freedom Committee,International,Advocacy
The National Union of Employees of the RadioTelevision Industry Coraven,Local,Advocacy
"The Center of Studies on Law, Justice, and Society",Local,Academia
Union de Organizaciones Democraticas de America,International,Advocacy
The Public Interest Clinic of the Universidad Sergio Arboleda,Local,Academia
Open Society,International,Advocacy
Grupo de Investigacion de Derechos Humans en la Amazonia,Local,Advocacy
Order of Attorneys of Brazil,Local,Lawyers
Universidade Federal de Uberlandi,Local,Academia
Global Justice Global,International,Advocacy
Association of Judges for Democracy,International,Lawyers
Foundation of the General Council of Spanish Lawyers,Local,Lawyers
Programa de Litigio Internacional del Comite de America Latina y el Caribe para la Defensa de los Derechos de la Mujer,International,Advocacy
